Song Title,Date,Release Type,Album Name,Group,FullGroup,Notes,Number Members,Taeil,Johnny,Taeyong,Yuta,Kun,Doyoung,Ten,Jaehyun,Jungwoo,Mark,Lucas,Winwin,Xiaojun,Hendery,Renjun,Jeno,Haechan,Jaemin,Yangyang,Chenle,Jisung,Shotaro,Sungchan
Turn Back Time (K) ,6/9/2020,Single,,WayV,1,,7,,,,,1,,1,,,,1,1,1,1,,,,,1,,,,
Bad Alive (E),7/29/2020,Single,,WayV,1,,7,,,,,1,,1,,,,1,1,1,1,,,,,1,,,,
Kick Back,3/10/2021,EP,Kick Back,WayV,1,,7,,,,,1,,1,,,,1,1,1,1,,,,,1,,,,
Action Figure,3/10/2021,EP,Kick Back,WayV,1,,7,,,,,1,,1,,,,1,1,1,1,,,,,1,,,,
Horizon,3/10/2021,EP,Kick Back,WayV,,,3,,,,,1,,1,,,,,,1,,,,,,,,,,
All For Love,3/10/2021,EP,Kick Back,WayV,1,,7,,,,,1,,1,,,,1,1,1,1,,,,,1,,,,
Good Time,3/10/2021,EP,Kick Back,WayV,1,,7,,,,,1,,1,,,,1,1,1,1,,,,,1,,,,
Kick Back (K) ,3/10/2021,EP,Kick Back,WayV,1,,6,,,,,1,,1,,,,,1,1,1,,,,,1,,,,
Phantom,12/28/2022,EP,Phantom,WayV,1,,6,,,,,1,,1,,,,,1,1,1,,,,,1,,,,
Diamonds Only ,12/28/2022,EP,Phantom,WayV,1,,6,,,,,1,,1,,,,,1,1,1,,,,,1,,,,
Good Life,12/28/2022,EP,Phantom,WayV,1,,6,,,,,1,,1,,,,,1,1,1,,,,,1,,,,
Broken Love ,12/28/2022,EP,Phantom,WayV,1,,6,,,,,1,,1,,,,,1,1,1,,,,,1,,,,
Bounce Back,12/28/2022,EP,Phantom,WayV,1,,6,,,,,1,,1,,,,,1,1,1,,,,,1,,,,
Try My Luck ,12/28/2022,EP,Phantom,WayV,1,,6,,,,,1,,1,,,,,1,1,1,,,,,1,,,,
Back to You ,6/15/2021,EP,Phantom,WayV,,,2,,,,,1,,,,,,,,1,,,,,,,,,,
Low Low,8/16/2021,EP,Phantom,WayV,,,2,,,,,,,1,,,,,,,,,,,,1,,,,
Back to You (E),6/23/2021,,,WayV,,,2,,,,,1,,,,,,,,1,,,,,,,,,,
Jopping,10/4/2019,Mini Album,SuperM (Album),SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Let's Go Everywhere,11/18/2019,Single,,SuperM,1,Korean Air,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
100 (SuperM),8/14/2020,Single,,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Tiger Inside,9/1/2020,Single,,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
We DO,4/9/2021,Single,,SuperM,1,Prudential Guarantee,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
I Can't Stand The Rain,10/4/2019,Mini Album,SuperM (Album),SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
2 Fast,10/4/2019,Mini Album,SuperM (Album),SuperM,,,2,,,,,,,,,,1,1,,,,,,,,,,,,
Super Car,10/4/2019,Mini Album,SuperM (Album),SuperM,,,3,,,1,,,,1,,,1,,,,,,,,,,,,,
No Manners,10/4/2019,Mini Album,SuperM (Album),SuperM,,,2,,,1,,,,1,,,,,,,,,,,,,,,,
With You,8/3/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
One (Monster & Infinity),9/23/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Infinity ,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Monster,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Wish You Were Here,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Big Chance,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Together At Home,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Drip,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Line 'Em up,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Dangerous Woman,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Step Up,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
So Long ,9/25/2020,Studio Album,Super One,SuperM,1,,4,,,1,,,,1,,,1,1,,,,,,,,,,,,
Amino Acid,12/17/2021,Single,,NCT 127,1,Analog Trip NCT 127,9,1,1,1,1,,1,,1,1,1,,,,,,,1,,,,,,
Freeze,11/10/2021,Single,,NCT 127,1,KARTRIDER,9,1,1,1,1,,1,,1,1,1,,,,,,,1,,,,,,
So Am I (feat. NCT 127),3/7/2019,Single,,,,Ava Max,3,,,1,,,,,1,,1,,,,,,,,,,,,,
Rain Day,7/19/2022,Single,,NCT U,,SM Station: NCT LAB,3,1,,,,1,,,,,,,,,,,,,,1,,,,
coNEXTion,3/20/2022,Single,,NCT U,,SM Station: NCT LAB,3,,,,,,1,,,,1,,,,,,,1,,,,,,
Universe (Let's Play Ball),12/10/2021,Studio Album,Universe,NCT U,,,9,,,,,,1,,,1,1,,,1,,,1,1,1,1,,,1,
Maniac,8/12/2021,Single,,NCT U,,Prod. RYAN JHUN,2,,,,,,1,,,,,,,,,,,1,,,,,,
Coming Home,12/13/2019,Single,,NCT U,,SM Station X,4,1,,,,,1,,1,,,,,,,,,1,,,,,,
Baby Only You,10/4/2019,OST Single,,NCT U,,The Tale Of Nokdu OST,2,,,,,,1,,,,1,,,,,,,,,,,,,
New Love,8/9/2019,OST Single,,NCT U,,When You're On The Blacklist Of Bullies OST,2,,,,,,1,,1,,,,,,,,,,,,,,,
Baby Don't Stop (Special Thai Version),6/2/2018,Single,,NCT U,,,2,,,1,,,,1,,,,,,,,,,,,,,,,
Radio Romance,1/30/2018,OST Single,,NCT U,,Radio Romance OST,2,1,,,,,1,,,,,,,,,,,,,,,,,
New Axis,12/14/2021,Studio Album,Universe,NCT U,,,3,,,1,,,,,,,1,,,,,,,,,1,,,,
Earthquake,12/14/2021,Studio Album,Universe,NCT 127,1,,9,1,1,1,1,,1,,1,1,1,,,,,,,1,,,,,,
OK!,12/14/2021,Studio Album,Universe,NCT U,,,7,,,1,1,,,1,,,1,,,,1,,1,,,1,,,,
Birthday Party,12/14/2021,Studio Album,Universe,NCT U,,,8,,1,,1,,,,,1,,,,,1,,,,1,,1,1,1,
Know Now,12/14/2021,Studio Album,Universe,NCT U,,,8,,1,,,,1,,,,1,,,,,1,1,,1,1,,,,1
Dreaming,12/14/2021,Studio Album,Universe,NCT DREAM,1,,7,,,,,,,,,,1,,,,,1,1,1,1,,1,1,,
Round&Round,12/14/2021,Studio Album,Universe,NCT U,,,6,1,,,,,,1,1,,,,,1,,,,1,,,,,,1
Miracle,12/14/2021,Studio Album,Universe,WayV,,,5,,,,,1,,1,,,,,,1,1,,,,,1,,,,
Vroom,12/14/2021,Studio Album,Universe,NCT U,,,7,,,,,1,,,1,1,,,,,1,,,,,,1,1,1,
Sweet Dream,12/14/2021,Studio Album,Universe,NCT U,,,5,1,,,,1,,,1,,,,,,,,,1,,,1,,,
Good Night,12/14/2021,Studio Album,Universe,NCT U ,,,4,1,,,,,1,,,,,,,1,,1,,,,,,,,
Beautiful,12/14/2021,Studio Album,Universe,NCT 2021,1,,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hair in the Air (Trolls: The Beat Goes On Theme),12/13/2018,Single,,,,"SM Station 3, DreamWorks Trolls, Yeri",3,,,,,,,,,,,,,,,1,1,,1,,,,,
Best Day Ever,12/13/2018,Single,,,,DreamWorks Trolls,3,,,,,,,,,,,,,,,,,1,,,1,1,,
Everytime,7/3/2021,OST Single,,WayV,1,Falling Into Your Smile OST,7,,,,,1,,1,,,,1,1,1,1,,,,,1,,,,
